Number of Pickers,Cycle Time,Picker Utilization,Order Per Labour Hour,Throughput
10,29.861876,0.014489299,140.7685586,19.08562802
10,30.481398,0.014298335,140.1082896,18.47395274
10,29.499743,0.013341248,142.6487124,17.9500467
10,30.943392,0.014561687,141.6980133,18.25136253
10,30.73996,0.013921301,140.1904212,17.71661955
10,30.688871,0.01403232,145.2392062,18.36140832
10,30.37088,0.015843624,138.1422505,20.00500234
10,29.758856,0.013343403,144.4065587,17.91721753
10,29.84789,0.014797409,140.882646,19.42528962
10,31.397848,0.015194935,137.6946441,18.42180279
10,29.8621,0.013060362,142.4543712,17.6749414
10,30.526007,0.014938598,136.8324654,18.79420606
10,29.871902,0.012854624,137.0791158,16.56520255
10,30.063547,0.015055738,137.0965796,19.03088652
10,30.395987,0.015345924,136.0033615,19.16778427
10,31.267883,0.014306137,139.4066524,18.00874635
10,29.780188,0.014559418,137.6297156,18.71774406
10,30.516235,0.014402653,138.3087379,18.37167815
10,29.668798,0.01349901,139.3812149,17.66944621
10,30.337702,0.014248357,140.9544682,18.63207747
10,29.603296,0.013042528,141.7742263,17.51712981
10,30.24272,0.014849344,139.8527421,19.21114726
1,30.587326,0.132099551,139.0996398,18.4371337
1,30.426813,0.133368423,138.7134945,18.50585234
1,30.479048,0.129383856,137.0604609,17.72809806
1,29.950476,0.137194126,134.8454231,18.52712971
1,30.754797,0.130346975,142.5681979,18.62035456
1,30.16022,0.131201822,140.686562,18.46468102
1,30.035591,0.13182406,140.9707255,18.61087684
1,30.66919,0.137204691,135.7460872,18.66244174
1,30.332682,0.137042997,137.4264556,18.93934413
1,30.040323,0.131645406,138.6299799,18.30235361
1,29.993341,0.125536884,147.3670475,18.50896019
1,30.485321,0.139079909,138.4096392,19.25759164
1,30.826818,0.12896571,138.9258172,18.03865123
1,30.22268,0.138765369,139.3239068,19.49092666
1,29.917582,0.126940009,142.4557434,18.09126873
1,29.98677,0.138473697,137.8119723,19.11057633
1,30.019218,0.130852494,142.3358432,18.73573355
1,30.403193,0.132540574,138.6367925,18.41318015
1,30.244606,0.134965306,139.2333132,18.79321626
1,30.245474,0.128269923,135.4565399,17.44224933
1,29.812521,0.124022159,141.1038163,17.56676959
1,29.930601,0.129480445,138.3735334,18.00613428
1,30.364523,0.134593956,138.3791706,18.66812542
1,30.081553,0.123199078,140.0172816,17.28297467
1,30.141352,0.126917404,141.1679254,17.92074809
1,31.09974,0.130611534,139.4083106,18.25079762
1,30.548653,0.132575788,138.2856822,18.36951337
1,30.707556,0.133973386,141.1971982,18.95350552
2,30.107523,0.069661799,139.0434943,17.96187508
2,30.667587,0.070869422,139.116925,18.12581034
2,30.245811,0.069395893,140.8193514,18.2319135
2,30.522512,0.0727791,135.7219443,18.04817471
2,30.505575,0.075713286,142.2499323,19.78103352
2,30.883234,0.066144724,138.2303314,16.70591742
2,29.89807,0.067997057,141.5639542,17.99397644
2,30.44442,0.070647763,139.970312,18.22728968
2,30.624397,0.072896279,140.6615867,19.15523941
2,30.655512,0.066901305,140.1480432,17.28000398
2,29.971323,0.073330717,141.9674556,19.41557588
2,30.688711,0.074309327,138.6699545,19.06473573
2,30.913244,0.073474017,137.7899647,18.53759036
2,29.627388,0.06338361,140.8457739,16.81937793
2,29.945082,0.070733458,140.6924219,18.47090307
2,30.98557,0.072016989,140.3784777,18.21690546
2,30.096985,0.075081076,137.7755783,19.22407908
2,30.117868,0.066528642,137.3389329,17.06159435
2,29.977335,0.075074857,140.6390337,19.6217165
2,30.17663,0.074331172,137.7556676,19.26784046
2,30.014029,0.071534703,142.8933752,19.25510306
2,30.111038,0.071562451,138.0879051,18.37189399
2,29.691744,0.068642043,144.0645802,18.63397811
2,30.193253,0.07329426,136.5548073,18.70908218
2,28.975382,0.06145334,140.1456182,16.48634246
2,30.17982,0.067256282,141.8837495,17.73969159
2,29.48292,0.062467729,147.3562894,17.1686757
2,29.5749,0.060033495,143.4538083,16.00729564
