Batch Size,Average Cycle Time,Picker Utilization,Orders per labour Hour,Warehouse Throughput
5,490.5609,0.103287884,179.5144403,18.73415451
6,574.5638,0.104406351,185.734685,19.47935291
6,650.97394,0.095717509,182.8296634,17.5828622
6,587.82684,0.095249053,188.978257,18.36675756
6,615.1333,0.105418105,182.6062034,19.38442832
6,598.2945,0.093082559,196.0625079,18.41006413
6,579.7758,0.102376747,178.2631359,18.28362581
6,650.0629,0.091949885,187.6021915,17.31458623
6,589.3507,0.110699256,173.8945736,19.37130894
6,620.9885,0.098769849,182.24185,18.27367547
6,624.0091,0.102145117,178.6673754,18.25487608
6,608.4232,0.103795485,180.6436964,18.93965462
6,604.7121,0.105000203,183.3329784,19.26348043
6,613.3643,0.099084345,179.140307,17.98169195
6,632.0346,0.100860735,178.4638989,18.22972198
6,586.3094,0.102713792,180.1121318,18.75627427
6,587.75415,0.094915924,189.6415192,18.40247762
6,602.91644,0.096883318,190.441253,18.47271419
6,618.36554,0.091845966,187.814455,17.54718598
6,591.2692,0.105484089,182.491977,19.2804205
6,629.3936,0.101163214,180.566813,18.52033233
6,591.1028,0.099577573,193.3166222,19.32482983
6,665.6021,0.09243867,183.9057181,17.15663421
6,582.59015,0.105825525,177.1784269,18.9595175
6,595.3625,0.098834113,184.6528444,18.35123039
6,688.52783,0.091377941,180.5687435,16.53922551
6,568.6911,0.104767694,188.5123093,19.90868346
6,631.56775,0.097702523,176.5563418,17.35449069
6,636.34735,0.098466914,180.2635955,17.77329594
7,705.60815,0.105713616,182.0957487,19.39259164
7,676.0017,0.105194916,185.7662658,19.65504056
7,699.59717,0.108548893,180.0264022,19.66817888
7,724.2195,0.104968254,177.8315446,18.79650637
7,729.1668,0.101784729,180.5280638,18.45555006
7,734.5678,0.103356685,180.6043474,18.84277647
7,691.2637,0.102443725,185.060952,18.9827307
7,707.4351,0.100771713,188.1314972,19.06311236
7,724.9859,0.102854908,181.4854248,18.72106878
7,776.45233,0.094652704,187.967864,17.89989957
7,710.64404,0.103251588,178.4835529,18.75946699
7,794.5092,0.087357893,190.3090762,16.75222059
7,666.16266,0.104498045,187.0050934,19.80137343
7,750.3309,0.101240403,175.736821,18.07104041
7,721.4719,0.102553737,184.8624333,19.28261475
7,690.41846,0.103210586,186.5118759,19.37923509
7,706.9915,0.103914744,185.2480148,19.3998341
7,754.7967,0.096960136,183.4946552,18.15623067
7,721.1612,0.103329551,177.8290897,18.60600575
7,744.82715,0.108136153,180.7135365,19.55087438
7,771.1074,0.096255394,178.7778593,17.41680139
7,725.11334,0.100280231,180.3279982,18.15824485
7,680.2356,0.109792108,177.9878999,19.62957684
7,744.9321,0.092490767,186.054607,17.33053837
7,727.18756,0.097356727,188.7388837,18.45119356
7,745.3,0.100052884,180.7377512,18.39414098
7,698.1193,0.101443262,181.1357363,18.63321433
7,723.388,0.099876728,178.7369267,18.10372587
8,899.9383,0.085435922,187.2748569,16.42023979
8,856.2115,0.103195329,180.8867396,18.71308324
8,876.17096,0.093883463,184.6260545,17.45190007
8,908.0562,0.091822803,181.5090173,16.75703943
8,825.4834,0.097461911,184.6875333,18.24464436
8,901.69086,0.095900457,177.2671418,17.2365468
8,796.0358,0.102896768,181.4115938,18.76304154
8,849.62225,0.10025606,182.8650893,18.66888229
8,776.71313,0.098366737,186.3773656,18.59668679
8,934.05365,0.090345682,184.476627,16.9475073
8,868.35443,0.098410216,182.9078396,18.29273613
8,816.075,0.102405038,179.0276511,18.48756135
8,884.64276,0.099794579,180.9548859,18.09649665
8,836.82697,0.095468235,185.052825,17.72072632
8,862.0372,0.090150974,195.9675625,17.92955671
8,849.5341,0.101365798,182.5725103,18.55936064
8,830.2415,0.096706956,182.6824812,17.85801067
8,837.9876,0.09922667,184.7621548,18.68033949
8,877.1066,0.09857689,179.2171243,17.83173049
8,881.30646,0.095555255,188.3726852,18.16172258
8,804.147,0.10436404,186.4690901,19.63500701
8,847.87616,0.097516631,188.0021197,18.57259802
8,878.5969,0.093321808,182.39156,17.23115071
8,817.3493,0.097965223,193.9463767,19.64390144
8,899.7156,0.096362859,183.334812,18.08799927
8,790.5511,0.100474792,190.6393906,19.54181035
8,938.4321,0.091377207,186.0420191,17.23650865
8,922.1367,0.092681086,184.6700273,17.17379224
9,967.8779,0.09730354,181.1342123,18.01045834
9,1002.405,0.093057673,185.3689171,17.50333064
9,906.3896,0.093277668,192.972234,18.2038265
9,967.40405,0.1026765,182.6123802,18.750437
9,937.1463,0.094656964,194.1220082,18.61695189
9,981.12256,0.09636243,186.7947918,18.09545684
9,933.9529,0.098010004,187.4808611,18.84670788
9,924.7518,0.097942393,187.7656034,18.81410355
9,938.24506,0.09599219,195.3283907,18.97272764
9,857.5539,0.103369672,188.6433392,19.69806925
9,1006.592,0.097427651,180.9034679,17.7601802
9,957.02246,0.095202066,181.1935477,17.44758343
9,1002.8752,0.096719198,182.2285576,17.99152514
9,944.83026,0.090860043,193.9796564,17.87639481
9,956.0918,0.101558415,184.6228101,18.9441792
9,934.82056,0.09407681,183.3608096,17.74196047
